Date,Open,High,Low,Close,Adj Close,return,
2013/12/1,null,null,null,null,null,,
2014/1/1,24.139999,24.5,23.43,23.43,21.295654,0,
2014/2/1,22.879999,24.450001,22.879999,24.450001,22.222738,4.353395298,(M4/M3-1)*100
2014/3/1,24.16,24.799999,23.92,24.799999,22.540855,1.431493275,
2014/4/1,24.98,25.09,23.99,24.799999,22.540855,0,
2014/5/1,24.809999,25.17,24.52,25.15,22.858973,1.411295179,
2014/6/1,25.209999,25.91,25.209999,25.76,23.413406,2.425450172,
2014/7/1,25.969999,26.32,25.540001,25.540001,23.213448,-0.854032087,
2014/8/1,25.41,26.35,25.15,26.35,23.949661,3.171493524,
2014/9/1,26.389999,26.58,25.700001,25.700001,23.358873,-2.466790657,
2014/10/1,25.35,25.940001,23.950001,25.940001,23.577011,0.933854985,
2014/11/1,25.870001,26.74,25.780001,26.51,24.095085,2.197369293,
2014/12/1,26.41,27,25.27,26.690001,24.258686,0.678980796,
2015/1/1,26.629999,26.629999,25.01,25.01,23.021172,-5.101323295,
2015/2/1,25.459999,26.969999,25.459999,26.73,24.604395,6.877247605,
2015/3/1,26.879999,26.879999,25.82,26.120001,24.042906,-2.282067899,
2015/4/1,26.15,26.969999,26.15,26.76,24.632011,2.450223779,
2015/5/1,27,27.440001,26.82,27.059999,24.908152,1.121065592,
2015/6/1,27.08,27.58,26.66,26.76,24.632011,-1.108637044,
2015/7/1,26.889999,27.129999,26.219999,26.809999,24.678034,0.186842235,
2015/8/1,26.690001,27,23.51,24.950001,22.965944,-6.937708247,
2015/9/1,24.23,24.99,23.129999,23.58,21.704887,-5.490987002,
2015/10/1,23.610001,25.809999,23.610001,25.59,23.555048,8.524167852,
2015/11/1,26.01,26.18,25.059999,25.84,23.785168,0.976945579,
2015/12/1,26.110001,26.110001,23.799999,24.42,22.478088,-5.495357443,
2016/1/1,24.110001,24.110001,21.309999,22.58,21.162897,-5.850991419,
2016/2/1,22.450001,22.450001,20.610001,22.120001,20.731768,-2.037192734,
2016/3/1,22.77,24.24,22.77,24.110001,22.596874,8.996367314,
2016/4/1,24.190001,25.469999,23.5,24.879999,23.318552,3.193707236,
2016/5/1,24.98,24.99,23.790001,24.959999,23.393532,0.321546552,
2016/6/1,24.98,25.23,22.559999,24.209999,22.690598,-3.004822017,
2016/7/1,24.26,25.450001,23.690001,25.41,23.815287,4.956630054,
2016/8/1,25.17,26.42,24.860001,26.299999,24.649435,3.502573788,
2016/9/1,26.23,26.6,25.76,26.51,24.846252,0.798464549,
2016/10/1,26.52,26.93,26.190001,26.209999,24.565081,-1.131643517,
2016/11/1,26.120001,29.41,25.879999,29.41,27.564253,12.20908655,
2016/12/1,29.66,30.57,29.299999,30.57,28.651453,3.944238939,
2017/1/1,29.67,30.139999,29.34,29.450001,28.168814,-1.684518408,
2017/2/1,29.459999,30.73,29.41,30.450001,29.125309,3.395581369,
2017/3/1,31.030001,31.030001,29.58,30.040001,28.733147,-1.346464685,
2017/4/1,29.879999,30.15,29.33,29.870001,28.570543,-0.565910862,
2017/5/1,29.950001,30.389999,29.65,30.07,28.761841,0.669563753,
2017/6/1,30.370001,30.780001,30.049999,30.709999,29.374001,2.128375579,
2017/7/1,31.049999,31.43,30.709999,31.299999,29.938332,1.921192145,
2017/8/1,31.4,31.4,30.02,30.389999,29.067921,-2.907346341,
2017/9/1,30.6,31.92,30.27,31.91,30.521793,5.001637372,
2017/10/1,32.150002,32.740002,32.150002,32.459999,31.047869,1.723607784,
2017/11/1,32.560001,33.18,32.040001,33.18,31.736544,2.218107143,
2017/12/1,33.18,34.009998,33.18,33.810001,32.339138,1.898738565,
2018/1/1,34.029999,36.52,34.029999,35.669998,34.56377,6.879070184,
2018/2/1,35.73,35.73,32.669998,34.150002,33.090912,-4.261277054,
2018/3/1,33.700001,34.990002,32.439999,33.240002,32.209137,-2.664704436,
2018/4/1,32.57,34.290001,32.57,33.889999,32.838974,1.955460651,
2018/5/1,33.759998,34.599998,33.02,33.349998,32.315723,-1.593384129,
2018/6/1,33.650002,34.310001,33,33,31.976574,-1.049486035,
2018/7/1,33.040001,33.959999,32.939999,33.93,32.877735,2.818191217,
2018/8/1,33.650002,34.209999,32.93,33.810001,32.761459,-0.353661832,
2018/9/1,33.66,34.470001,33.330002,33.689999,32.645176,-0.354938405,
2018/10/1,33.830002,34.080002,30.93,31.67,30.687826,-5.995832279,
2018/11/1,31.889999,32.880001,30.629999,31.559999,30.581236,-0.347336432,
2018/12/1,32.049999,32.049999,25.9,27.43,26.579319,-13.08618461,
