,Mkt-RF,SMB,HML,RMW,CMA,RF
201401,-3.32,0.59,-2.09,-4,-1.38,0
201402,4.65,0.13,-0.4,-0.24,-0.44,0
201403,0.43,-1.17,5.08,2.15,1.89,0
201404,-0.19,-4.17,1.14,3.51,1.05,0
201405,2.06,-1.89,-0.27,0.09,-1.06,0
201406,2.61,3.08,-0.74,-1.99,-1.94,0
201407,-2.04,-4.25,0.01,0.95,0.48,0
201408,4.24,0.29,-0.58,-0.64,-0.68,0
201409,-1.97,-3.79,-1.23,1.14,-0.53,0
201410,2.52,3.79,-1.68,-0.48,-0.14,0
201411,2.55,-2.31,-2.99,1.4,0.2,0
201412,-0.06,2.87,2.06,-1.16,0.88,0
201501,-3.11,-0.86,-3.47,1.66,-1.71,0
201502,6.13,0.2,-1.79,-1.07,-1.71,0
201503,-1.12,3.04,-0.46,0.08,-0.52,0
201504,0.59,-3.02,1.86,-0.16,-0.5,0
201505,1.36,0.76,-1.37,-1.71,-0.75,0
201506,-1.53,2.87,-0.79,0.52,-1.49,0
201507,1.54,-4.55,-4.12,0.03,-2.57,0
201508,-6.04,0.4,2.68,0.76,1.22,0
201509,-3.08,-2.78,0.52,1.81,-0.52,0
201510,7.75,-2.16,-0.08,0.82,0.46,0
201511,0.56,3.34,-0.52,-2.57,-1.13,0
201512,-2.17,-2.98,-2.58,0.3,0.08,0.01
201601,-5.77,-3.43,2.1,2.61,3,0.01
201602,-0.07,0.94,-0.48,3.29,2.1,0.02
201603,6.96,1.1,1.12,0.82,-0.06,0.02
201604,0.92,1.17,3.26,-2.88,1.96,0.01
201605,1.78,-0.7,-1.81,-1.03,-2.6,0.01
201606,-0.05,0.49,-1.49,1.2,1.92,0.02
201607,3.95,2.65,-1.1,1.33,-1.27,0.02
201608,0.5,1.71,3.33,-1.3,-0.38,0.02
201609,0.25,1.71,-1.5,-2.44,-0.03,0.02
201610,-2.02,-4,4.17,1.12,0.19,0.02
201611,4.86,6.87,8.32,0.01,3.63,0.01
201612,1.82,0.37,3.55,1.04,-0.26,0.03
201701,1.94,-1.28,-2.76,-0.13,-0.97,0.04
201702,3.57,-2.11,-1.78,0.72,-1.75,0.04
201703,0.17,0.76,-3.16,0.6,-0.98,0.03
201704,1.09,0.49,-1.87,1.94,-1.57,0.05
201705,1.06,-3.07,-3.77,1.17,-1.87,0.06
201706,0.78,2.48,1.35,-1.99,-0.06,0.06
201707,1.87,-1.58,-0.28,-0.69,-0.15,0.07
201708,0.16,-1.86,-2.24,0.32,-2.44,0.09
201709,2.51,4.82,3.03,-1.18,1.64,0.09
201710,2.25,-1.97,-0.06,1.05,-3.34,0.09
201711,3.12,-0.43,-0.05,3.16,0,0.08
201712,1.06,-1.02,0.14,0.62,1.65,0.09
201801,5.58,-3.15,-1.37,-0.49,-0.89,0.11
201802,-3.65,0.35,-1.19,0.46,-2.25,0.11
201803,-2.35,3.52,-0.11,-0.48,-0.01,0.12
201804,0.29,0.94,0.53,-2.08,1.18,0.14
201805,2.65,4.72,-3.16,-1.94,-1.39,0.14
201806,0.48,0.85,-2.39,0.73,0.33,0.14
201807,3.19,-1.92,0.4,1.6,0.56,0.16
201808,3.44,0.76,-4.11,-0.34,-2.65,0.16
201809,0.06,-2.51,-1.35,0.61,1.19,0.15
201810,-7.68,-4.43,3.41,0.72,3.49,0.19
201811,1.69,-0.81,0.2,-0.63,0.42,0.18
201812,-9.55,-3,-1.51,-0.27,0.1,0.19
